scenario,classifier,batch_balance,normalization,repeat_id,split,error
jama_scenario1_3,xgb,True,mn,1,50,0.10989010989011
jama_scenario1_3,xgb,True,non,1,50,0.0842490842490843
jama_scenario1_3,xgb,True,qn,1,50,0.108058608058608
jama_scenario1_3,xgb,True,vsn,1,50,0.124542124542125
jama_scenario1_3,xgb,True,mn,2,50,0.122710622710623
jama_scenario1_3,xgb,True,non,2,50,0.131868131868132
jama_scenario1_3,xgb,True,qn,2,50,0.139194139194139
jama_scenario1_3,xgb,True,vsn,2,50,0.142857142857143
jama_scenario1_3,xgb,True,mn,3,50,0.117216117216117
jama_scenario1_3,xgb,True,non,3,50,0.122710622710623
jama_scenario1_3,xgb,True,qn,3,50,0.0952380952380952
jama_scenario1_3,xgb,True,vsn,3,50,0.117216117216117
jama_scenario1_3,xgb,True,mn,1,70,0.115384615384615
jama_scenario1_3,xgb,True,non,1,70,0.133699633699634
jama_scenario1_3,xgb,True,qn,1,70,0.117216117216117
jama_scenario1_3,xgb,True,vsn,1,70,0.142857142857143
jama_scenario1_3,xgb,True,mn,2,70,0.113553113553114
jama_scenario1_3,xgb,True,non,2,70,0.106227106227106
jama_scenario1_3,xgb,True,qn,2,70,0.108058608058608
jama_scenario1_3,xgb,True,vsn,2,70,0.124542124542125
jama_scenario1_3,xgb,True,mn,3,70,0.115384615384615
jama_scenario1_3,xgb,True,non,3,70,0.124542124542125
jama_scenario1_3,xgb,True,qn,3,70,0.133699633699634
jama_scenario1_3,xgb,True,vsn,3,70,0.113553113553114
jama_scenario1_3,xgb,True,mn,1,80,0.143119266055046
jama_scenario1_3,xgb,True,non,1,80,0.139449541284404
jama_scenario1_3,xgb,True,qn,1,80,0.124770642201835
jama_scenario1_3,xgb,True,vsn,1,80,0.15045871559633
jama_scenario1_3,xgb,True,mn,2,80,0.124770642201835
jama_scenario1_3,xgb,True,non,2,80,0.121100917431193
jama_scenario1_3,xgb,True,qn,2,80,0.102752293577982
jama_scenario1_3,xgb,True,vsn,2,80,0.122935779816514
jama_scenario1_3,xgb,True,mn,3,80,0.143119266055046
jama_scenario1_3,xgb,True,non,3,80,0.146788990825688
jama_scenario1_3,xgb,True,qn,3,80,0.157798165137615
jama_scenario1_3,xgb,True,vsn,3,80,0.143119266055046
jama_scenario1_3,xgb,True,mn,1,90,0.184981684981685
jama_scenario1_3,xgb,True,non,1,90,0.183150183150183
jama_scenario1_3,xgb,True,qn,1,90,0.194139194139194
jama_scenario1_3,xgb,True,vsn,1,90,0.186813186813187
jama_scenario1_3,xgb,True,mn,2,90,0.148351648351648
jama_scenario1_3,xgb,True,non,2,90,0.135531135531136
jama_scenario1_3,xgb,True,qn,2,90,0.157509157509158
jama_scenario1_3,xgb,True,vsn,2,90,0.175824175824176
jama_scenario1_3,xgb,True,mn,3,90,0.216117216117216
jama_scenario1_3,xgb,True,non,3,90,0.166666666666667
jama_scenario1_3,xgb,True,qn,3,90,0.19047619047619
jama_scenario1_3,xgb,True,vsn,3,90,0.177655677655678
jama_scenario1_3,xgb,True,mn,1,100,0.269724770642202
jama_scenario1_3,xgb,True,non,1,100,0.211009174311927
jama_scenario1_3,xgb,True,qn,1,100,0.28256880733945
jama_scenario1_3,xgb,True,vsn,1,100,0.231192660550459
jama_scenario1_3,xgb,True,mn,2,100,0.273394495412844
jama_scenario1_3,xgb,True,non,2,100,0.187155963302752
jama_scenario1_3,xgb,True,qn,2,100,0.280733944954128
jama_scenario1_3,xgb,True,vsn,2,100,0.223853211009174
jama_scenario1_3,xgb,True,mn,3,100,0.253211009174312
jama_scenario1_3,xgb,True,non,3,100,0.176146788990826
jama_scenario1_3,xgb,True,qn,3,100,0.278899082568807
jama_scenario1_3,xgb,True,vsn,3,100,0.306422018348624
